course_code,course_title,department,document_url,source_page_url,source_name,audit_status,academic_year,term,course_code_found,page_count,pdf_sha256,evidence,rejection_reason
AUTOTECH 4DV3,Vehicle Dynamics,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4dv3_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,6,b33d871d1402ee1317b3a7eaad7ed79ff0bb8dc28cf0b023072d82d0e2f7664e,document: fall 2021; matching course code,
BIOTECH 2CB3,Cell Biology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2CB3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,6,b6c1791d6f61b5620124d821141a60de3b70f099a3513579f5473e590c5ca873,filename: fall-2023; matching course code,
BIOTECH 2M03,Molecular Biology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2M03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,8,6af6ce7306017668b025e3e5f760a647bc6fa36c307cc6a700982edb4c9e3856,filename: fall-2023; matching course code,
BIOTECH 2OC3,Organic Chemistry,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2OC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,8,16e3bd5352fe06d112b3b2674a5686ad5a1c5709d3c8d6fd1c71770b3486dfa8,filename: fall-2023; matching course code,
BIOTECH 3B03,Industrial Biotechnology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3B03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,6,ff3d6377469cb406686669a7a3325ae146938be208450e72a8e06a3affe83f17,filename: fall-2023; matching course code,
BIOTECH 3BC3,Bioprocess Control and Dynamics,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3BC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,6,d36dcfb7f741150c059537831d0bbda76f601c0e2dd1e6bf1891e7526ac9f5c5,filename: fall-2023; matching course code,
BIOTECH 3CM3,Computational Modeling of Biological Systems,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3CM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,e7900c3e925c0e118b030bd02b9d57381bf93480b2ba5176bf0dd574c740a0aa,filename: fall-2023; matching course code,
BIOTECH 3FM3,Food Microbiology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3FM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,7,5146110a37b9de087870a807b114ae9517809503cf1880c188caca4e86c9eceb,filename: fall-2023; matching course code,
BIOTECH 3IV3,Immunology and Virology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3IV3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,8,1dd924b9ac9f2543a569563a89e788bd1311e1ecdb7ca1c09b68e7f644205260,filename: fall-2023; matching course code,
BIOTECH 3PM3,Pharmacology,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3PM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,6,ce10647c585430f05de6546abcbd27412d342b726c9991ca84154897ed654561,filename: fall-2023; matching course code,
BIOTECH 4BI3,Bioinformatics,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bi3_-_bioinformatics_course_outline_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,7,bf386fff963fb4becf08f0cc7277f9c2402b61480b17160ede02284dea0d2eb4,document: fall 2021; matching course code,
BIOTECH 4BS3,Ethics and Biotechnology Regulations,BIOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bs3_2021_course_outline.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,6,0d08311c732676a6f6078ffb64fae0d4d78e0a910b9af6e5f21ba8eda6152091,document: fall 2021; matching course code,
CHALLENG 2CC3,Critical Challenges for Humanity,CHALLENG,https://www.eng.mcmaster.ca//app/uploads/2024/05/CHALLENG-2CC3-Course-Outline-Fall-2026-August-16-2026.pdf,https://www.eng.mcmaster.ca/engphys/courses/,engineering_engineering_physics,approved,2026,fall,True,6,bc4b830f18b2edeab7d384afb6347c66baff122f4858195794d696738730e8bb,filename: fall-2026; matching course code,
CHEMENG 2D04,Chemical Engineering Principles I,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2D04_Course-Outline_F2025-tentative.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,10,d5c08096b6ba1cc9f4ee231e9803574735a7f6428cc1024a45e22c0593cabb89,filename: f2025; matching course code,
CHEMENG 2DW1,Problem Solving Strategies,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2025/09/2DW1_Syllabus_2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,9,8453e04e64ad3436af92da4b5ef866620bcdee9f3acdc04210cf1675650d5950,document: fall 2025; matching course code,
CHEMENG 2E04,Numerical Methods and Computing for Chemical Engineers,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2E04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,11,959912516809c2c6f6f2fb8c41d6fb1c843c55c7700be4290d2b53c4e4609e4c,filename: f2025; matching course code,
CHEMENG 3BK3,Bio-Reaction Engineering,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3BK3_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,8,4054335d64d50d4dd01e32e515b628102a1ab4b6496ed3f5f829c38ee8940f52,filename: f2025; matching course code,
CHEMENG 3D04,Chemical Engineering Thermodynamics,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-3D04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,9,75e6de26dd6007dfab9ac0ee24bf00fcb3a584276c3281ec04adc7a33305a3f0,filename: f2025; matching course code,
