course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
CHEM 1A03,Introductory Chemistry I,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/l0regi2tc/Fall-2026-CHEM-1A03-C04-DAVISLJ-Introductory-Chemistry-I?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2A03,Quantitative Chemical Analysis,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/bbb5xf9qe/Fall-2026-CHEM-2A03-C01-CHENL109-Quantitative-Chemical-Analysis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2BC3,Making Chemistry More Sustainable,CHEM,missing,,,,,,,,False
CHEM 2E03,Introductory Organic Chemistry,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Jim Ghoshdastidar (he/him),https://mcmaster.simplesyllabusca.com/doc/5zcqgdxsr/Fall-2026-CHEM-2E03-C01-GHOSHDA-Introductory-Organic-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2OA3,Organic Chemistry I,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/ranzsonyx/Fall-2026-CHEM-2OA3-C01-CHIBBAA-Organic-Chemistry-I?mode=view | https://mcmaster.simplesyllabusca.com/doc/tr6u0tc57/Fall-2026-CHEM-2OA3-C02-CHIBBAA-Organic-Chemistry-I?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2OG3,Structure and Reactivity of Organic Molecules,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Alex Adronov,https://mcmaster.simplesyllabusca.com/doc/b0wpt4hht/Fall-2026-CHEM-2OG3-C01-ADRONOV-Structure-and-Reactivity-of-Organic-Molecules?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2Q03,Inquiry for Chemistry,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/3g1wc4rb3/Fall-2026-CHEM-2Q03-C01-GREENBSH-Inquiry-for-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 2SC3,Sustainable Chemistry - Green Chemistry,CHEM,missing,,,,,,,,False
CHEM 3EP3A,Advanced Chemistry Placement,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/i6dbwlw4o/Fall-2026-CHEM-3EP3A-C01-TBD-Advanced-Chemistry-Placement?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 3EP3S,Advanced Chemistry Placement,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/pycc6rq7b/Fall-2026-CHEM-3EP3S-C01-TBD-Advanced-Chemistry-Placement?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
