course_code,course_title,department,academic_year,term,section,professor_name,document_url,source_page_url,source_kind,source_name,source_priority,is_preferred,needs_review,retrieved_at
BIOTECH 3B03,Industrial Biotechnology,BIOTECH,,,,Faiez Alani,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3B03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 3BC3,Bioprocess Control and Dynamics,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3BC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 3BP3,Bioreactor Processes and Design,BIOTECH,2026,fall,,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/fu0iizebx/Fall-2026-BIOTECH-3BP3-C01-RAJABA-Bioreactor-Processes-and-Design?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOTECH 3CM3,Computational Modeling of Biological Systems,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3CM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 3FM3,Food Microbiology,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3FM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 3IV3,Immunology and Virology,BIOTECH,,,,"Fei Geng, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3IV3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 3PM3,Pharmacology,BIOTECH,,,,Rashid Abu-Ghazalah,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3PM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 4BI3,Bioinformatics,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bi3_-_bioinformatics_course_outline_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 4BS3,Ethics and Biotechnology Regulations,BIOTECH,,,,Rashid Abu-Ghazalah,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bs3_2021_course_outline.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 4TR3,Capstone Project II,BIOTECH,2026,fall,,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/x6lypvxnd/Fall-2026-BIOTECH-4TR3-C01-RAJABA-Capstone-Project-II?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHALLENG 2CC3,Critical Challenges for Humanity,CHALLENG,,,,Harold Haugen,https://www.eng.mcmaster.ca//app/uploads/2024/05/CHALLENG-2CC3-Course-Outline-Fall-2026-August-16-2026.pdf,https://www.eng.mcmaster.ca/engphys/courses/,official_department,engineering_engineering_physics,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEM 1A03,Introductory Chemistry I,CHEM,2026,fall,,Dr. Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/l0regi2tc/Fall-2026-CHEM-1A03-C04-DAVISLJ-Introductory-Chemistry-I?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2A03,Quantitative Chemical Analysis,CHEM,2026,fall,,Lydia Chen,https://mcmaster.simplesyllabusca.com/doc/bbb5xf9qe/Fall-2026-CHEM-2A03-C01-CHENL109-Quantitative-Chemical-Analysis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2E03,Introductory Organic Chemistry,CHEM,2026,fall,,Dr. Jim Ghoshdastidar (he/him),https://mcmaster.simplesyllabusca.com/doc/5zcqgdxsr/Fall-2026-CHEM-2E03-C01-GHOSHDA-Introductory-Organic-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2OA3,Organic Chemistry I,CHEM,2026,fall,,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/ranzsonyx/Fall-2026-CHEM-2OA3-C01-CHIBBAA-Organic-Chemistry-I?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2OA3,Organic Chemistry I,CHEM,2026,fall,,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/tr6u0tc57/Fall-2026-CHEM-2OA3-C02-CHIBBAA-Organic-Chemistry-I?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2OG3,Structure and Reactivity of Organic Molecules,CHEM,2026,fall,,Alex Adronov,https://mcmaster.simplesyllabusca.com/doc/b0wpt4hht/Fall-2026-CHEM-2OG3-C01-ADRONOV-Structure-and-Reactivity-of-Organic-Molecules?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 2Q03,Inquiry for Chemistry,CHEM,2026,fall,,Anthony Chibba,https://mcmaster.simplesyllabusca.com/doc/3g1wc4rb3/Fall-2026-CHEM-2Q03-C01-GREENBSH-Inquiry-for-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
