course_code,course_title,department
CMTYENGA 2MC3,Design and Creation of Engaged Learning for Community Youth,CMTYENGA
CMTYENGA 3E03,Community Engagement in Practice with Empowerment Squared,CMTYENGA
CMTYENGA 4A06,Semester at CityLAB: Design and Dialogue Inquiry,CMTYENGA
CMTYENGA 4A09,Semester at CityLAB: Applied Project Experience,CMTYENGA
COMMERCE 1AA3,Introductory Financial Accounting,COMMERCE
COMMERCE 1BA3,Organizational Behaviour,COMMERCE
COMMERCE 1E03,Business Environment and Organization,COMMERCE
COMMERCE 1GR0A,DeGroote Student Experience and Development I,COMMERCE
COMMERCE 1MA3,Introduction to Marketing,COMMERCE
COMMERCE 1TS0,Orientation for New Transfer Students,COMMERCE
COMMERCE 2AB3,Managerial Accounting I,COMMERCE
COMMERCE 2CO0,Co-op and Career Development Course,COMMERCE
COMMERCE 2DA3,Decision Making with Analytics,COMMERCE
COMMERCE 2FA3,Introduction to Finance,COMMERCE
COMMERCE 2FB3,Managerial Finance,COMMERCE
COMMERCE 2GR0,DeGroote Student Experience and Development II,COMMERCE
COMMERCE 2NG3,Negotiations,COMMERCE
COMMERCE 3AB3,Intermediate Financial Accounting I,COMMERCE
COMMERCE 3DA3,Predictive Analytics,COMMERCE
COMMERCE 3FB3,Securities Analysis,COMMERCE
COMMERCE 3FC3,International Finance,COMMERCE
COMMERCE 3FD3,Financial Modelling,COMMERCE
COMMERCE 3FH3,Alternative Investments and Portfolio Management,COMMERCE
COMMERCE 3FI3,Market Trading with Options and Futures,COMMERCE
COMMERCE 3FK3,Intermediate Corporate Finance,COMMERCE
COMMERCE 3FN3,Big Data in Finance,COMMERCE
COMMERCE 3GR0,DeGroote Student Experience and Development III,COMMERCE
COMMERCE 3KA3,System Analysis and Design,COMMERCE
COMMERCE 3KE3,Management of Enterprise Data Analytics and Artificial Intelligence,COMMERCE
COMMERCE 3MA3,Marketing Research,COMMERCE
COMMERCE 3MB3,Consumer Behaviour,COMMERCE
COMMERCE 3MC3,Applied Marketing Management,COMMERCE
COMMERCE 4AA3,Managerial Accounting II,COMMERCE
COMMERCE 4AC3,Advanced Financial Accounting,COMMERCE
COMMERCE 4AD3,Introduction to Auditing,COMMERCE
COMMERCE 4AF3,Accounting Theory,COMMERCE
COMMERCE 4BB3,Recruitment and Selection,COMMERCE
COMMERCE 4BG3,Public Sector Collective Bargaining,COMMERCE
COMMERCE 4BI3,Training and Development,COMMERCE
COMMERCE 4BL3,Occupational Health and Safety Management,COMMERCE
COMMERCE 4CB3,"Health Care Systems: Management, Policy, and Innovation",COMMERCE
COMMERCE 4DA3,Modelling and Prescriptive Analytics,COMMERCE
COMMERCE 4EL3,Experiential Learning in Business,COMMERCE
COMMERCE 4FC3,Ethics and Professional Practice in Finance,COMMERCE
COMMERCE 4FL3,Personal Financial Management,COMMERCE
COMMERCE 4FP3,Personal Finance,COMMERCE
COMMERCE 4FR3,Insurance and Risk Management,COMMERCE
COMMERCE 4FW3,Finance for Entrepreneurs,COMMERCE
COMMERCE 4FY3,Introduction to FinTech,COMMERCE
COMMERCE 4GR3,DeGroote Student Experience and Development IV,COMMERCE
COMMERCE 4IA0,Internship 1,COMMERCE
COMMERCE 4IB0,Internship 2,COMMERCE
COMMERCE 4KF3,Project Management,COMMERCE
COMMERCE 4KH3,Strategies for Electronic and Mobile Business,COMMERCE
COMMERCE 4MA3,Advertising and Integrated Marketing Communication,COMMERCE
COMMERCE 4ME3,Sales Management,COMMERCE
COMMERCE 4MH3,Digital Marketing,COMMERCE
COMMERCE 4OI3,Supply Chain Management,COMMERCE
COMMERCE 4PA3,Business Policy: Strategic Management,COMMERCE
COMMERCE 4QA3,Operations Modelling and Analysis,COMMERCE
COMMERCE 4SA3,International Business,COMMERCE
COMMERCE 4SB3,Introduction to Canadian Taxation,COMMERCE
